crop,model,lab_acc,field_acc,gap
pepper,efficientnet,100.0,51.85185185185185,48.14814814814815
pepper,mobilenetv3,99.79797979797979,48.148148148148145,51.64983164983165
pepper,mobilevit,99.79797979797979,81.48148148148148,18.31649831649831
potato,efficientnet,100.0,60.0,40.0
potato,mobilenetv3,100.0,51.11111111111111,48.88888888888889
potato,mobilevit,100.0,62.22222222222222,37.77777777777778
tomato,efficientnet,99.38303341902314,24.62686567164179,74.75616774738134
tomato,mobilenetv3,97.48071979434447,22.388059701492537,75.09266009285193
tomato,mobilevit,98.40616966580977,23.88059701492537,74.5255726508844
"tomato,potato,pepper",efficientnet,99.09407665505226,15.121951219512194,83.97212543554006
"tomato,potato,pepper",mobilenetv3,98.397212543554,12.682926829268293,85.71428571428571
"tomato,potato,pepper",mobilevit,98.50174216027875,13.658536585365855,84.8432055749129
