name,crop,model,fixmatch,initial_acc,final_acc,labels_used,improvement,efficiency
AL Random (Tomato),tomato,mobilenetv3,False,22.0,19.333333333333332,50,-2.666666666666668,-0.05333333333333336
AL Entropy (Tomato),tomato,mobilenetv3,False,22.0,21.333333333333336,50,-0.6666666666666643,-0.013333333333333286
AL Hybrid (Tomato),tomato,mobilenetv3,False,22.0,24.0,50,2.0,0.04
AL Hybrid (Potato),potato,mobilenetv3,False,57.77777777777777,57.77777777777777,50,0.0,0.0
FixMatch (Tomato),tomato,mobilenetv3,True,22.0,27.333333333333332,50,5.333333333333332,0.10666666666666665
FixMatch (Potato),potato,mobilenetv3,True,57.77777777777777,60.0,50,2.2222222222222285,0.04444444444444457
FixMatch (Pepper),pepper,mobilenetv3,True,74.07407407407408,81.48148148148148,40,7.407407407407405,0.18518518518518512
Benchmark efficientnet (Tomato),tomato,efficientnet,False,19.333333333333332,42.0,50,22.666666666666668,0.45333333333333337
Benchmark mobilevit (Tomato),tomato,mobilevit,False,30.666666666666664,37.333333333333336,50,6.666666666666671,0.13333333333333341
Benchmark efficientnet (Potato),potato,efficientnet,False,44.44444444444444,60.0,40,15.555555555555557,0.38888888888888895
Benchmark mobilevit (Potato),potato,mobilevit,False,60.0,57.77777777777777,40,-2.2222222222222285,-0.05555555555555571
